epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1210.36,0.50817,1.57233,0.21368,0.38219,0.92992,0.97413,0.94129,0.97752,0.88207,0.94708,0.91,0.92818,0.66537,0.50049,1.58424,0.19002,0.35286,0.82167,0.0012476,0.0012476,0.0012476
40,1241.53,0.49896,1.62392,0.21444,0.38078,0.93269,0.98424,0.93705,0.98374,0.89229,0.95202,0.87,0.90045,0.66631,0.47445,1.70048,0.18179,0.33967,0.80687,0.0012278,0.0012278,0.0012278
41,1271.59,0.50866,1.54564,0.21623,0.38139,0.93928,0.98419,0.9339,0.98093,0.89112,0.96338,0.89,0.92514,0.68757,0.44303,1.56829,0.17314,0.33194,0.80775,0.001208,0.001208,0.001208
42,1302.61,0.50137,1.61134,0.21065,0.37711,0.93134,0.99913,0.94,0.97673,0.88384,0.94745,0.90141,0.91154,0.66582,0.49467,1.45999,0.17762,0.34405,0.82303,0.0011882,0.0011882,0.0011882
43,1334.02,0.50617,1.5952,0.21001,0.38096,0.93093,0.99551,0.905,0.96787,0.87265,0.97786,0.88324,0.91645,0.68201,0.47418,1.64041,0.17023,0.35858,0.82437,0.0011684,0.0011684,0.0011684
44,1364.43,0.47044,1.49971,0.2046,0.34968,0.9181,0.98473,0.925,0.97749,0.89917,0.92689,0.915,0.9475,0.70793,0.43116,1.34117,0.18273,0.33238,0.78895,0.0011486,0.0011486,0.0011486
45,1394.82,0.4796,1.51168,0.21004,0.36052,0.92169,0.99467,0.93349,0.97844,0.90404,0.93442,0.93,0.96323,0.74363,0.45812,1.33202,0.1789,0.31701,0.80624,0.0011288,0.0011288,0.0011288
46,1426.96,0.48447,1.43166,0.20221,0.36236,0.92174,0.99479,0.95469,0.98642,0.90337,0.94792,0.95,0.96076,0.73434,0.44175,1.18592,0.18984,0.31121,0.79864,0.001109,0.001109,0.001109
47,1458.58,0.48751,1.40872,0.20621,0.35707,0.92438,0.99464,0.92755,0.9746,0.8773,0.94769,0.90581,0.9475,0.71328,0.49732,1.26742,0.17418,0.34295,0.81241,0.0010892,0.0010892,0.0010892
48,1489.11,0.47766,1.44349,0.20777,0.35707,0.91985,0.99836,0.94,0.98451,0.9048,0.97881,0.92393,0.96186,0.72006,0.44875,1.23789,0.18442,0.29715,0.79996,0.0010694,0.0010694,0.0010694
49,1519.49,0.4669,1.39366,0.20289,0.35187,0.91703,0.99475,0.94793,0.97912,0.9072,0.97723,0.925,0.95738,0.71725,0.43677,1.27918,0.18032,0.30213,0.79374,0.0010496,0.0010496,0.0010496
50,1550.13,0.47066,1.37178,0.19801,0.35335,0.91579,0.99602,0.93,0.97411,0.88409,0.9841,0.9284,0.96894,0.76238,0.47126,1.16941,0.18151,0.32623,0.80412,0.0010298,0.0010298,0.0010298
51,1580.7,0.47025,1.41578,0.20545,0.35419,0.91134,0.97407,0.9393,0.97912,0.88465,0.96179,0.895,0.94819,0.74383,0.47532,1.23978,0.1724,0.33683,0.80389,0.00101,0.00101,0.00101
52,1614.54,0.45833,1.3729,0.20008,0.34773,0.90841,0.97934,0.945,0.98058,0.88815,0.94253,0.9,0.94882,0.75023,0.46177,1.40265,0.17389,0.32621,0.80813,0.0009902,0.0009902,0.0009902
53,1645.22,0.45546,1.32116,0.20255,0.35037,0.91496,0.99672,0.925,0.97714,0.88236,0.94202,0.9,0.92505,0.75579,0.52189,1.28837,0.17169,0.36324,0.81555,0.0009704,0.0009704,0.0009704
